#	SIM_20_0.05_0		#	SIM_20_0.05_-10		#	SIM_20_0.05_-12		#	SIM_20_0.05_-15		#	SIM_20_0.05_-2		#	SIM_20_0.05_-4		#	SIM_20_0.05_-5		#	SIM_20_0.05_-6		#	SIM_20_0.05_-7		#	SIM_20_0.05_-8		#	SIM_20_0.05_-9	
1	178514045.314125	1	200018131.645051	1	201353943.468309	1	205026809.352818	1	180945543.071173	1	186363729.236447	1	190339841.333613	1	191381091.187431	1	192022240.760778	1	196831898.066808	1	196408535.142241
500	178476957.861722	500	198918747.793102	500	198261032.815683	500	204342093.375695	500	182232098.859642	500	186138300.154480	500	189675415.712945	500	190387291.338090	500	193305551.679293	500	195708549.815283	500	197563088.986998
1000	176521019.383244	1000	198511668.204505	1000	200666409.627342	1000	202876668.447434	1000	180115532.397082	1000	187222621.898355	1000	189230656.880283	1000	192017252.696402	1000	193234278.866036	1000	195498890.793077	1000	197666524.288291
1500	176631423.288372	1500	200521115.831602	1500	200003372.528016	1500	201912141.174177	1500	181154874.699693	1500	185376076.944549	1500	188741197.251573	1500	191518824.738175	1500	191744212.766297	1500	193744601.651329	1500	196601234.113922
2000	177323581.981986	2000	198312919.790688	2000	199791042.447933	2000	203472432.999064	2000	183486619.402549	2000	189126182.452248	2000	187823783.216681	2000	190500604.146942	2000	192072725.689154	2000	193925853.692860	2000	195985849.557115
2500	177052400.814058	2500	197094311.681169	2500	199826017.929920	2500	203105669.984773	2500	181167194.135148	2500	186473244.043752	2500	189540091.371223	2500	192111179.281602	2500	191928570.257336	2500	192167586.224296	2500	193845818.119075
3000	178401279.004760	3000	198023237.642971	3000	199959964.695685	3000	204076633.421645	3000	183251794.964956	3000	187696835.777332	3000	189365649.960487	3000	190169371.166701	3000	193373984.387033	3000	196190935.804198	3000	195491629.166004
3500	177886654.000136	3500	198513979.832326	3500	200709654.087609	3500	202302563.296727	3500	184212034.739207	3500	187244844.643168	3500	188647272.371375	3500	191081209.212938	3500	192276326.025678	3500	194215853.517026	3500	196457708.852014
4000	178422570.086699	4000	198780520.335586	4000	203440466.340202	4000	204923484.649844	4000	180957931.825202	4000	186123263.559885	4000	188112478.900205	4000	191824873.978687	4000	191908116.536893	4000	194586463.961209	4000	197632490.421759
4500	176844877.155333	4500	198381880.951086	4500	203174009.648867	4500	204816988.705698	4500	182841099.003321	4500	187388950.935051	4500	189025858.614332	4500	190777351.942272	4500	193102763.260467	4500	194990793.230869	4500	196628163.756570
5000	176732011.178029	5000	198049665.765478	5000	199409740.617815	5000	204703986.262981	5000	183083191.434338	5000	187170423.283207	5000	189286169.532938	5000	190427221.494595	5000	192752441.350999	5000	194798323.352901	5000	198747988.433525
5500	176841444.927592	5500	198273472.913005	5500	201872660.030299	5500	203493098.864071	5500	183160772.114274	5500	186952844.828296	5500	189683279.223332	5500	190543436.037337	5500	192857435.649095	5500	194831770.752765	5500	195123640.119808
6000	177213712.226056	6000	200060949.551833	6000	200937267.407481	6000	206799717.989846	6000	184544748.123140	6000	187662171.334639	6000	190339343.677350	6000	190039261.187207	6000	193196229.143202	6000	194904556.334027	6000	197740789.062477
6500	176671931.336838	6500	197910726.724012	6500	200275306.355811	6500	203515819.558685	6500	182032700.384644	6500	186916511.463807	6500	189256668.601553	6500	189556791.577427	6500	193798498.532864	6500	195283754.447548	6500	197031123.531564
7000	177361180.763951	7000	197980834.569372	7000	200523476.357130	7000	202995821.305261	7000	181669521.228987	7000	186989975.973215	7000	187894261.413212	7000	191734768.315551	7000	194041757.167102	7000	195986806.791758	7000	194858574.221890
7500	176245276.224968	7500	197726619.946823	7500	200848804.632792	7500	204586110.915318	7500	182629337.201280	7500	187372406.882115	7500	189330345.508647	7500	190787103.167117	7500	192719948.937480	7500	194721393.781007	7500	195817425.287273
8000	176699983.609402	8000	197297917.541551	8000	200268091.164612	8000	203717482.233824	8000	180422338.402293	8000	188541233.929402	8000	187721436.849974	8000	189801744.962511	8000	192984051.086571	8000	195696418.172181	8000	196415829.829124
8500	177967368.826565	8500	198012855.372948	8500	201081350.795433	8500	205042964.893403	8500	182578727.213854	8500	187647884.936783	8500	189408114.253505	8500	191328221.733659	8500	193815134.403180	8500	195459790.690184	8500	196169321.433351
