#	SIM_20_0.05_0		#	SIM_20_0.05_-10		#	SIM_20_0.05_-12		#	SIM_20_0.05_-15		#	SIM_20_0.05_-2		#	SIM_20_0.05_-4		#	SIM_20_0.05_-5		#	SIM_20_0.05_-6		#	SIM_20_0.05_-7		#	SIM_20_0.05_-8		#	SIM_20_0.05_-9	
1	94665.9342095649	1	107387.326561719	1	108425.349592233	1	111738.533573735	1	97524.2446021836	1	100124.139192936	1	101885.711654906	1	102186.111802137	1	103947.586504719	1	105762.260490963	1	106255.959950006
500	94669.6215647131	500	107058.761321658	500	108493.668126940	500	111485.401939191	500	97793.3680729569	500	98503.3321716135	500	101596.942743737	500	102447.958412682	500	104050.326866198	500	104917.057515177	500	106140.984750972
1000	94489.7019025107	1000	108032.617277385	1000	109593.235678374	1000	111064.400126902	1000	97082.5907577457	1000	99496.1696667988	1000	101890.157207489	1000	102190.096080798	1000	103667.376623754	1000	104341.139491320	1000	106242.052248235
1500	94261.9521783058	1500	107470.199302282	1500	109159.940360200	1500	111486.595463713	1500	97203.9955946143	1500	99294.1191784386	1500	101231.796610910	1500	102588.932980371	1500	103546.108800708	1500	105166.241330100	1500	106033.965186444
2000	94244.4897447624	2000	106890.165884075	2000	109921.851365642	2000	111863.469846598	2000	97077.2490052730	2000	99877.7980690730	2000	101423.822575202	2000	102258.690728401	2000	103686.946702506	2000	103891.706118934	2000	105629.342505636
2500	93891.9557660586	2500	106737.361312809	2500	109703.482633702	2500	111446.489520661	2500	96161.2114762484	2500	99525.2620829854	2500	101339.174463290	2500	101995.339450172	2500	103430.835927839	2500	105118.873853745	2500	105358.448349974
3000	93987.3570125009	3000	107160.619955868	3000	109313.407197554	3000	111492.605751760	3000	97915.4938874545	3000	100399.122152288	3000	100439.156952804	3000	102117.088819192	3000	103322.967151305	3000	104776.950747260	3000	105328.410055853
3500	94209.2703594195	3500	106649.058725595	3500	109659.620085356	3500	112383.318303514	3500	97324.8215535970	3500	98910.0272675495	3500	101531.317815082	3500	102047.106689050	3500	103938.888096862	3500	105504.479408015	3500	106505.460871183
4000	95053.1218982304	4000	106757.242638903	4000	108735.748889986	4000	112029.879159092	4000	96903.3991365241	4000	98885.1398611472	4000	101144.364635354	4000	102928.755619000	4000	103788.025531480	4000	105509.102825299	4000	105105.201239230
4500	95762.6002572225	4500	106797.081379742	4500	109517.133057205	4500	112641.592303440	4500	97197.7105306016	4500	99974.0458771577	4500	102646.979494620	4500	102465.597054452	4500	104661.938315883	4500	105002.520925438	4500	105417.378056402
5000	95274.5539503836	5000	107728.255766547	5000	108337.460961692	5000	112160.597396648	5000	97090.4135477725	5000	99265.3820861596	5000	101871.689456847	5000	102172.213451130	5000	103997.075352573	5000	105646.471084653	5000	105797.413152231
5500	94047.1815167112	5500	106945.617598420	5500	108387.369370366	5500	112209.050949719	5500	96760.6380904560	5500	100443.512413476	5500	101327.856653773	5500	102761.332568014	5500	104552.977170150	5500	105230.109094445	5500	105713.116442517
6000	94926.8936140600	6000	106657.646585190	6000	109530.157172274	6000	111665.069253259	6000	97154.3671883323	6000	100028.490432526	6000	101824.875686209	6000	101919.596415276	6000	103699.928254657	6000	105630.055905800	6000	106060.019769529
6500	94308.1226729113	6500	106833.853487776	6500	108775.507130312	6500	111845.252348867	6500	97037.8804414740	6500	99280.3288534408	6500	101843.906276956	6500	102973.267689552	6500	104221.454758032	6500	105219.088862679	6500	106472.275016800
7000	93612.7258340950	7000	107453.291931770	7000	109153.595764681	7000	112341.137442396	7000	95899.5772639706	7000	99452.1796336580	7000	100797.868757311	7000	102370.015829848	7000	104164.474526725	7000	104374.021463055	7000	105450.725805451
7500	94732.1101720483	7500	107246.894553136	7500	108382.274001229	7500	111187.524889873	7500	97708.4173680958	7500	99862.2634969846	7500	100811.590923842	7500	102838.046646264	7500	103077.898965974	7500	105465.435154007	7500	106254.148133917
8000	93814.6153662111	8000	106955.498103550	8000	108486.578771262	8000	111548.167349128	8000	96837.9735310565	8000	98857.1209393179	8000	101324.999857149	8000	102168.838214279	8000	103853.161647575	8000	105115.161505220	8000	106159.476639432
8500	94125.5737762913	8500	107226.503055368	8500	108623.147703093	8500	111512.460186437	8500	96982.6011004195	8500	99344.8956673140	8500	101535.152230658	8500	103200.679567155	8500	103800.677892305	8500	104902.790031958	8500	106011.370599978
9000	94677.6058048048	9000	107133.388888967	9000	109613.956270892	9000	111542.598329199	9000	97135.9124842771	9000	99590.7240197814	9000	102061.242238746	9000	101515.372847902	9000	104106.547785514	9000	104298.027875903	9000	106718.182968390
9500	94944.9083749105	9500	107719.157231607	9500	109394.741466484	9500	111942.451013638	9500	97159.2793893717	9500	99219.5090995858	9500	102813.102213487	9500	103006.740648675	9500	103691.188803653	9500	104978.364052575	9500	106520.520234332
