#	SIM_20_0.05_0		#	SIM_20_0.05_-10		#	SIM_20_0.05_-12		#	SIM_20_0.05_-15		#	SIM_20_0.05_-2		#	SIM_20_0.05_-4		#	SIM_20_0.05_-5		#	SIM_20_0.05_-6		#	SIM_20_0.05_-7		#	SIM_20_0.05_-8		#	SIM_20_0.05_-9	
1	179728094.141284	1	187918753.376373	1	188538231.715409	1	191116696.155708	1	180780919.603478	1	183696605.767618	1	184478018.651369	1	186177077.717377	1	185722335.615222	1	186646533.866518	1	187750141.082917
500	178703491.439715	500	188524307.172765	500	189789615.391456	500	191138888.460336	500	181275473.196954	500	183116907.667649	500	184738535.149124	500	185612339.168142	500	185885970.766816	500	186871581.507342	500	188144205.641644
1000	178349319.921947	1000	188093105.963450	1000	189096324.838269	1000	191571728.906278	1000	181260757.995323	1000	183381287.798988	1000	183895807.421718	1000	185075273.461106	1000	186347121.354807	1000	186902953.738540	1000	187629835.178200
1500	179072262.960145	1500	188730231.861783	1500	189695761.971845	1500	191011012.334630	1500	181216236.136201	1500	183280417.005892	1500	183670508.465221	1500	185125871.592288	1500	186302806.489824	1500	186508023.275617	1500	187608385.174431
2000	180212338.588811	2000	188460238.760148	2000	189922245.362401	2000	191005955.052644	2000	182111243.357178	2000	183760881.300023	2000	185249283.572741	2000	184836224.819985	2000	185499071.331493	2000	186742791.383176	2000	187891165.912296
2500	179520603.738728	2500	187805665.310214	2500	189295745.007184	2500	190516502.415349	2500	181884123.883152	2500	183308054.333137	2500	184094302.439344	2500	185814408.354455	2500	185748179.553229	2500	186776051.399060	2500	187765590.586178
3000	179050218.143654	3000	188751823.657560	3000	188647118.467521	3000	191436824.548825	3000	181309384.924014	3000	182975916.432018	3000	184732832.423857	3000	184455639.350219	3000	185811459.809037	3000	187282015.425732	3000	187407424.413745
3500	179696390.842415	3500	187846493.400377	3500	188935896.064994	3500	190803281.438546	3500	181437573.893696	3500	183455045.820161	3500	184249966.251374	3500	184807967.656400	3500	185236475.715595	3500	187298122.738344	3500	187557313.887566
4000	179831849.996941	4000	188512883.774855	4000	189520647.657160	4000	191841500.922112	4000	181227447.947829	4000	183810851.535630	4000	184557233.285856	4000	185735379.437558	4000	186145780.870943	4000	187149084.483659	4000	188131410.614048
4500	179350904.192483	4500	188406210.576187	4500	189827868.525153	4500	191262670.187855	4500	181559716.532791	4500	182828827.479737	4500	184103394.914514	4500	185248051.128541	4500	185802587.139791	4500	186126702.573900	4500	188308010.990191
5000	180101158.147468	5000	188544401.960627	5000	189185922.827310	5000	191479831.781531	5000	181410010.228758	5000	183715455.493051	5000	184519706.571552	5000	185478549.263871	5000	186390155.418189	5000	186851137.782600	5000	187606844.616186
5500	178745613.099230	5500	187446146.369514	5500	189115079.224836	5500	192274476.293242	5500	181438808.702749	5500	183602034.230613	5500	184314247.911514	5500	185712218.682089	5500	186185363.150781	5500	186774289.942129	5500	188054195.961912
