#	SIM_20_0.05_0		#	SIM_20_0.05_-10		#	SIM_20_0.05_-12		#	SIM_20_0.05_-15		#	SIM_20_0.05_-2		#	SIM_20_0.05_-4		#	SIM_20_0.05_-5		#	SIM_20_0.05_-6		#	SIM_20_0.05_-7		#	SIM_20_0.05_-8		#	SIM_20_0.05_-9	
1	173295958.305403	1	191333957.038220	1	192108272.321822	1	199082548.477072	1	175786626.287754	1	180931913.695921	1	184437864.548237	1	184834206.459912	1	186176681.373213	1	186569830.022428	1	188400332.853712
500	171627683.342197	500	191624229.355345	500	194994763.356747	500	197699897.735984	500	176857340.003595	500	180879425.962495	500	182498393.539775	500	184802772.931669	500	188215790.075145	500	187427170.879146	500	188855995.645278
1000	171600029.518336	1000	191772885.884530	1000	193841434.393472	1000	197694662.935538	1000	175675275.080097	1000	181413718.075241	1000	183968154.228685	1000	184276251.090959	1000	186917476.928646	1000	187758654.460862	1000	191427214.289828
1500	172967550.364299	1500	191848720.039033	1500	194865259.522519	1500	195496294.661668	1500	177421091.928239	1500	182098236.866644	1500	184165928.456770	1500	185279559.004851	1500	187580773.369244	1500	188524433.217843	1500	189458510.679662
2000	173838281.056618	2000	191759199.355560	2000	195990806.708784	2000	198722215.569283	2000	177739579.344710	2000	181139795.562763	2000	184317202.916832	2000	185586730.972826	2000	185752511.488997	2000	188846969.452580	2000	189579916.279532
2500	171887010.997807	2500	192341376.430516	2500	193715147.124335	2500	197241134.816407	2500	177827953.807059	2500	182426309.350963	2500	182829947.951357	2500	186242846.362991	2500	186630106.252207	2500	188736102.962059	2500	190567011.430206
3000	172610649.076933	3000	191973493.558605	3000	193408079.505247	3000	197558401.831731	3000	176788981.672145	3000	181297209.184255	3000	182377498.070443	3000	183565039.607212	3000	185429043.546756	3000	188293223.455882	3000	189326169.942951
3500	173471329.145627	3500	191848452.896106	3500	193301512.827999	3500	196754927.658042	3500	176671503.761799	3500	181777249.554170	3500	183504940.343334	3500	185889857.134547	3500	186449867.594203	3500	189831615.392146	3500	189318417.329975
4000	173141888.451828	4000	191181049.040990	4000	193856801.263895	4000	197252960.261821	4000	177480639.000207	4000	182056250.995427	4000	184137709.078409	4000	185443908.429983	4000	186129854.114558	4000	189203034.756671	4000	190602517.717126
4500	173115596.288285	4500	192447963.182160	4500	194738103.710099	4500	197294371.941274	4500	176949480.135829	4500	181701244.014012	4500	184329943.416458	4500	185607040.997070	4500	186388748.890085	4500	188701223.566552	4500	190080595.533316
5000	172297118.718091	5000	189957885.440090	5000	193320626.789457	5000	197397243.678706	5000	175640791.803103	5000	181278691.938898	5000	182904976.732204	5000	184422723.532485	5000	186929683.632434	5000	188941831.635284	5000	189772171.525441
5500	171728814.570499	5500	190454662.229474	5500	193907287.917572	5500	196667860.100658	5500	176807006.917067	5500	181074843.087422	5500	182416831.810230	5500	184755191.499450	5500	186697937.371262	5500	187864369.527228	5500	189594619.609721
6000	172582149.058696	6000	191379181.517499	6000	194785294.386903	6000	197533487.658278	6000	178078735.060219	6000	181533932.912138	6000	183956668.974444	6000	185786428.992682	6000	187706481.857401	6000	188031475.138453	6000	189077249.687255
6500	170604206.397878	6500	191237262.685449	6500	194043115.543421	6500	196896729.711603	6500	176930994.107236	6500	180345443.558559	6500	183436144.901816	6500	184753953.734207	6500	186665216.608793	6500	187305137.390324	6500	189921000.833292
7000	173931759.143769	7000	191151311.139416	7000	195279650.229457	7000	197635548.009939	7000	176460722.848921	7000	181517799.081211	7000	182347598.640469	7000	184971966.682077	7000	186372890.260576	7000	188811823.375462	7000	191212559.162595
7500	172899882.273480	7500	191342230.832376	7500	193263236.388454	7500	198723752.777932	7500	177579389.652863	7500	181180628.716113	7500	184080331.982603	7500	184925636.387213	7500	185903123.821592	7500	188769806.637966	7500	190243355.375743
8000	172945618.675535	8000	191990079.400059	8000	193539599.441096	8000	196901951.209277	8000	177585995.003281	8000	180944446.349073	8000	183805023.923610	8000	183971362.766846	8000	185986649.059015	8000	187405390.302971	8000	190073695.342418
8500	172066552.346206	8500	190608082.905904	8500	194503997.441615	8500	196339803.405180	8500	176345413.263217	8500	180377083.555700	8500	182116272.766952	8500	184054959.689597	8500	185891757.140420	8500	188096016.747108	8500	189454742.090538
9000	172141031.116144	9000	191668184.896922	9000	194012999.272131	9000	196279606.667827	9000	176562932.728621	9000	180517003.032928	9000	181765724.212376	9000	186315075.454379	9000	186944954.621218	9000	188096722.869761	9000	189425366.228578
9500	171550736.889069	9500	192053973.596742	9500	193250555.723293	9500	195049965.015358	9500	176943659.417459	9500	181943855.344686	9500	182690504.758012	9500	184424089.604751	9500	184918262.862548	9500	187130222.877693	9500	191099616.654804
10000	170926064.911276	10000	190894254.517667	10000	193297235.846504	10000	196691105.959726	10000	175744459.808959	10000	180690697.671370	10000	183773898.474913	10000	185111196.131936	10000	187132644.390978	10000	188275643.796740	10000	191909355.631955
10500	172356283.561179	10500	190642553.708345	10500	194261295.809028	10500	197066097.133181	10500	178521619.391808	10500	181372685.202790	10500	183183490.776474	10500	185075707.843619	10500	187317907.780382	10500	188960249.484772	10500	190935353.593433
11000	171423055.734715	11000	191150421.426156	11000	192882033.378641	11000	197233002.803006	11000	176865962.302650	11000	179685859.280393	11000	182438082.107618	11000	185593283.023645	11000	187092837.978925	11000	188540067.950430	11000	189066388.663135
11500	172934783.705338	11500	190668966.375279	11500	193569830.733737	11500	196881527.233404	11500	176442781.836299	11500	180443607.044925	11500	182258605.156212	11500	184849309.477566	11500	185524672.294979	11500	189228574.553459	11500	189347313.869505
12000	172465304.214727	12000	191744969.303378	12000	193636901.911003	12000	197724481.915904	12000	176785224.636705	12000	179222704.590859	12000	182363707.948279	12000	185409715.046678	12000	186570100.155085	12000	189798291.436516	12000	190088264.109499
