-3,243391752777306 2,5392339745976074
-2,774772987676786 16,614279608595723
-2,3095258507134675 50,72554458865568
-1,84593449104247 45,56729145247215
-1,3833118174064358 17,435034520390957
-0,9285137239908101 3,7298166943150477
-0,4606608966853787 -0,3606290451871814
0,003133211225494037 -0,7103697589736271
0,46273343424855895 -0,5250803953090895
0,9309241752871156 3,398661235850568
1,391098851656496 17,20806912964065
1,856086921424419 45,17512379219295
2,3158673651051513 49,63464642021063
2,77824223533689 15,625318749643952
3,254122391102606 1,916346326533528
