#time	SIM_15/
0.60	223.70
1.20	223.70
1.80	234.00
2.40	234.20
3.00	236.50
3.60	232.80
4.20	237.00
4.80	235.40
5.40	235.50
6.00	237.80
6.60	247.50
7.20	242.90
7.80	244.60
8.40	248.40
9.00	235.90
9.60	234.10
10.20	241.10
10.80	233.80
11.40	239.40
12.00	240.60
12.60	237.30
13.20	235.00
13.80	234.60
14.40	229.90
15.00	230.70
15.60	229.20
16.20	233.30
16.80	239.00
17.40	232.10
18.00	240.20
18.60	240.80
19.20	244.60
19.80	239.20
20.40	237.00
21.00	240.00
21.60	240.40
22.20	238.90
22.80	228.50
23.40	228.50
24.00	227.30
24.60	232.80
25.20	236.10
25.80	236.10
26.40	225.80
27.00	235.50
27.60	230.60
28.20	238.20
28.80	235.00
29.40	240.80
30.00	230.80
30.60	231.70
31.20	235.90
31.80	239.30
32.40	240.20
33.00	242.10
33.60	235.30
34.20	241.00
34.80	244.20
35.40	241.40
36.00	239.40
36.60	243.90
37.20	238.30
37.80	242.10
38.40	239.20
39.00	236.00
39.60	236.80
40.20	240.50
40.80	238.80
41.40	240.30
42.00	237.00
42.60	240.60
43.20	236.40
43.80	238.30
44.40	238.80
45.00	243.50
45.60	239.90
46.20	239.70
46.80	238.60
47.40	234.70
48.00	241.00
48.60	242.60
49.20	247.90
49.80	238.20
50.40	247.60
51.00	242.70
51.60	245.80
52.20	246.10
52.80	242.60
53.40	237.00
54.00	241.80
54.60	243.00
55.20	249.90
55.80	241.70
56.40	248.10
57.00	245.40
57.60	242.90
58.20	240.80
58.80	249.70
59.40	248.60
60.00	240.70
60.60	239.20
61.20	241.40
61.80	245.60
62.40	243.00
63.00	246.10
63.60	241.60
64.20	244.90
64.80	247.20
65.40	244.20
66.00	243.40
66.60	242.90
67.20	238.90
67.80	243.90
68.40	231.10
69.00	231.20
69.60	236.60
70.20	239.60
70.80	239.90
71.40	240.00
72.00	236.70
72.60	222.70
73.20	233.70
73.80	237.20
74.40	235.00
75.00	236.30
75.60	225.90
76.20	232.20
76.80	234.60
77.40	228.90
78.00	243.20
78.60	231.00
79.20	233.50
79.80	226.70
80.40	221.30
81.00	228.80
81.60	236.10
82.20	234.80
82.80	234.10
83.40	232.80
84.00	236.10
84.60	237.00
85.20	233.90
85.80	232.50
86.40	230.00
87.00	226.80
87.60	238.50
88.20	235.10
88.80	240.90
89.40	229.50
90.00	237.80
90.60	236.30
91.20	231.70
91.80	232.60
92.40	239.10
93.00	239.10
93.60	242.40
94.20	245.80
94.80	242.00
95.40	237.40
96.00	234.10
96.60	237.70
97.20	237.20
97.80	246.60
98.40	247.70
99.00	243.10
99.60	238.40
100.20	239.10
100.80	244.50
101.40	240.70
102.00	243.20
102.60	240.90
103.20	239.40
103.80	229.10
104.40	237.40
105.00	240.10
105.60	246.60
106.20	239.00
106.80	245.60
107.40	240.70
108.00	243.20
108.60	244.70
109.20	239.70
109.80	235.20
110.40	229.10
111.00	239.70
111.60	245.60
112.20	237.90
