#time	SIM_6/
0.60	196.30
1.20	196.30
1.80	191.70
2.40	185.90
3.00	174.90
3.60	179.90
4.20	175.10
4.80	175.80
5.40	170.70
6.00	177.70
6.60	169.20
7.20	171.50
7.80	165.80
8.40	158.00
9.00	157.50
9.60	153.30
10.20	159.90
10.80	157.00
11.40	154.60
12.00	157.70
12.60	154.80
13.20	159.80
13.80	155.60
14.40	151.40
15.00	163.10
15.60	158.30
16.20	160.40
16.80	161.70
17.40	158.80
18.00	154.40
18.60	158.30
19.20	162.30
19.80	163.80
20.40	161.80
21.00	155.80
21.60	148.00
22.20	149.90
22.80	153.10
23.40	149.00
24.00	146.10
24.60	150.50
25.20	159.00
25.80	157.20
26.40	156.30
27.00	153.70
27.60	154.80
28.20	154.30
28.80	163.50
29.40	148.60
30.00	152.50
30.60	146.20
31.20	147.10
31.80	143.80
32.40	145.20
33.00	149.50
33.60	150.10
34.20	155.60
34.80	151.30
35.40	149.20
36.00	152.90
36.60	161.80
37.20	153.80
37.80	151.20
38.40	145.70
39.00	142.00
39.60	140.20
40.20	148.50
40.80	152.90
41.40	152.50
42.00	149.50
42.60	150.10
43.20	154.80
43.80	159.20
44.40	149.80
45.00	155.20
45.60	159.00
46.20	155.20
46.80	149.60
47.40	145.60
48.00	149.30
48.60	151.00
49.20	147.40
49.80	147.80
50.40	159.40
51.00	153.50
51.60	150.80
52.20	154.10
52.80	157.10
53.40	148.00
54.00	137.90
54.60	140.40
55.20	142.60
55.80	142.20
56.40	140.80
57.00	142.00
57.60	135.50
58.20	129.50
58.80	130.40
59.40	137.00
60.00	137.20
60.60	134.20
61.20	141.50
61.80	143.60
62.40	140.30
63.00	141.20
63.60	138.30
64.20	139.30
64.80	151.70
65.40	140.40
66.00	140.50
66.60	146.80
67.20	145.70
67.80	148.70
68.40	141.10
69.00	144.80
69.60	139.80
70.20	133.00
70.80	138.10
71.40	133.90
72.00	133.40
72.60	129.40
73.20	137.00
73.80	135.50
74.40	130.60
75.00	138.50
75.60	145.20
76.20	142.20
76.80	136.80
77.40	143.10
78.00	149.30
78.60	153.10
79.20	147.00
79.80	152.60
80.40	152.80
81.00	155.20
81.60	160.10
82.20	155.50
82.80	152.30
83.40	159.00
84.00	164.50
84.60	162.50
85.20	167.80
85.80	160.80
86.40	162.20
87.00	162.70
87.60	155.30
88.20	165.20
88.80	162.80
89.40	161.40
90.00	167.00
90.60	165.60
91.20	178.20
91.80	168.50
92.40	166.80
93.00	164.80
93.60	169.90
94.20	173.50
94.80	173.10
95.40	179.80
