#time	SIM_10_20/
0.60	105.40
1.20	105.40
1.80	102.30
2.40	116.30
3.00	122.30
3.60	117.30
4.20	116.70
4.80	107.50
5.40	104.40
6.00	113.40
6.60	111.30
7.20	105.70
7.80	99.30
8.40	108.60
9.00	101.80
9.60	100.80
10.20	92.30
10.80	91.40
11.40	85.10
12.00	83.90
12.60	77.50
13.20	85.10
13.80	82.30
14.40	88.70
15.00	88.70
15.60	87.20
16.20	88.60
16.80	85.30
17.40	89.10
18.00	83.60
18.60	89.40
19.20	83.90
19.80	88.80
20.40	84.10
21.00	82.20
21.60	86.30
22.20	89.80
22.80	91.10
23.40	78.30
24.00	79.90
24.60	76.40
25.20	70.00
25.80	77.60
26.40	71.90
27.00	70.20
27.60	79.80
28.20	80.10
28.80	84.40
29.40	72.30
30.00	75.80
30.60	79.60
31.20	84.90
31.80	87.90
32.40	80.10
33.00	72.40
33.60	67.60
34.20	65.30
34.80	63.30
35.40	66.60
36.00	61.40
36.60	64.00
37.20	75.80
37.80	70.00
38.40	73.30
39.00	76.30
39.60	84.80
40.20	79.50
40.80	89.20
41.40	95.80
42.00	91.40
42.60	94.50
43.20	91.80
43.80	79.30
44.40	90.50
45.00	93.70
45.60	92.10
46.20	96.30
46.80	82.30
47.40	91.60
48.00	87.60
48.60	90.30
49.20	85.40
49.80	86.40
50.40	89.60
51.00	92.00
51.60	90.30
52.20	98.40
52.80	92.40
53.40	101.20
54.00	98.60
54.60	100.10
55.20	108.50
55.80	104.80
56.40	104.30
57.00	99.40
57.60	100.50
58.20	85.30
58.80	92.10
59.40	100.30
60.00	93.20
60.60	100.90
61.20	104.90
61.80	100.50
62.40	89.40
63.00	88.20
63.60	77.80
64.20	76.10
64.80	88.00
65.40	85.70
66.00	86.00
66.60	88.20
67.20	82.30
67.80	87.20
68.40	81.80
69.00	83.10
69.60	79.40
70.20	76.80
70.80	85.90
71.40	91.30
72.00	85.50
72.60	89.00
73.20	92.10
73.80	95.30
74.40	80.20
75.00	81.10
75.60	76.20
76.20	65.40
76.80	76.60
77.40	72.30
78.00	67.20
78.60	79.70
79.20	94.50
79.80	88.60
80.40	90.30
81.00	91.70
81.60	107.80
82.20	96.60
82.80	85.40
83.40	87.60
84.00	98.10
84.60	91.80
85.20	95.00
85.80	91.40
86.40	91.20
87.00	97.40
87.60	89.70
88.20	81.20
88.80	88.60
89.40	78.80
90.00	79.80
90.60	79.20
91.20	74.30
91.80	81.50
92.40	84.00
93.00	81.80
93.60	82.50
94.20	69.70
94.80	79.70
95.40	74.60
96.00	85.70
96.60	85.00
97.20	97.40
97.80	88.10
98.40	77.90
99.00	75.90
99.60	87.70
100.20	63.90
100.80	69.70
101.40	65.70
102.00	69.80
102.60	62.40
103.20	66.20
103.80	80.30
104.40	88.10
105.00	71.20
105.60	77.70
106.20	70.60
106.80	69.90
107.40	62.00
108.00	68.20
108.60	65.20
109.20	73.80
109.80	83.10
110.40	73.10
111.00	77.60
111.60	79.90
112.20	68.40
112.80	76.00
113.40	70.90
114.00	70.80
114.60	71.10
115.20	64.70
115.80	72.20
116.40	73.90
117.00	67.20
117.60	72.50
118.20	70.50
118.80	66.50
119.40	71.10
120.00	63.60
120.60	59.50
121.20	67.70
121.80	63.10
122.40	69.90
123.00	68.80
123.60	61.80
124.20	57.10
124.80	45.90
125.40	57.00
126.00	59.40
126.60	72.80
127.20	66.50
127.80	90.30
128.40	93.00
129.00	97.10
129.60	87.80
130.20	85.60
130.80	82.30
131.40	75.90
132.00	70.80
132.60	73.80
133.20	76.50
133.80	73.90
134.40	72.00
135.00	82.90
135.60	79.20
136.20	80.70
136.80	84.80
137.40	87.70
138.00	90.80
138.60	93.00
139.20	82.10
139.80	90.50
140.40	89.70
141.00	98.00
141.60	96.50
142.20	84.70
142.80	81.10
143.40	80.10
144.00	83.90
144.60	78.80
145.20	80.70
145.80	80.00
146.40	80.40
147.00	73.60
147.60	66.50
148.20	67.80
148.80	75.10
149.40	74.10
150.00	70.00
150.60	72.90
151.20	75.40
151.80	68.20
152.40	76.90
153.00	75.00
153.60	74.50
154.20	75.50
154.80	77.60
155.40	78.50
156.00	71.20
156.60	79.40
157.20	78.20
157.80	65.40
158.40	68.60
159.00	55.30
159.60	57.50
160.20	57.00
160.80	58.70
161.40	63.70
162.00	63.00
162.60	59.70
163.20	44.70
163.80	35.50
164.40	45.90
165.00	46.40
165.60	44.10
166.20	38.90
166.80	42.70
167.40	42.50
168.00	42.20
168.60	51.10
169.20	60.00
169.80	62.20
170.40	61.00
171.00	61.70
171.60	69.30
172.20	64.70
172.80	63.90
173.40	62.20
174.00	76.60
174.60	87.00
175.20	90.20
175.80	79.70
176.40	74.90
177.00	73.50
177.60	48.40
178.20	52.70
178.80	56.30
179.40	48.00
180.00	59.10
180.60	71.80
181.20	81.10
181.80	64.80
182.40	69.10
183.00	65.00
183.60	65.20
184.20	57.00
184.80	52.80
185.40	48.70
186.00	43.50
186.60	44.90
187.20	50.90
187.80	43.20
188.40	46.10
189.00	49.60
189.60	43.80
190.20	47.80
190.80	63.20
191.40	49.40
192.00	62.00
192.60	59.60
193.20	68.30
193.80	59.90
194.40	72.40
195.00	76.50
195.60	69.80
196.20	73.30
196.80	62.00
197.40	53.30
198.00	64.50
198.60	61.30
199.20	49.80
199.80	53.90
200.40	62.20
201.00	48.60
201.60	59.20
202.20	52.20
202.80	49.70
203.40	46.30
204.00	59.10
204.60	57.00
205.20	61.20
205.80	61.90
206.40	50.50
207.00	61.00
207.60	62.70
208.20	60.30
208.80	58.90
209.40	57.80
210.00	43.20
210.60	56.50
211.20	55.90
211.80	52.40
212.40	46.70
213.00	46.30
213.60	48.50
214.20	51.20
214.80	53.10
215.40	59.80
216.00	55.60
216.60	55.30
217.20	55.70
217.80	56.10
218.40	51.80
219.00	41.30
219.60	39.70
220.20	36.50
220.80	45.10
221.40	49.40
222.00	37.70
222.60	34.10
223.20	39.90
223.80	41.10
224.40	43.30
225.00	42.20
225.60	41.30
226.20	38.10
226.80	46.90
227.40	44.20
228.00	52.10
228.60	44.10
229.20	44.50
229.80	41.50
230.40	37.20
231.00	42.20
231.60	43.60
232.20	59.30
232.80	47.70
233.40	45.00
234.00	49.70
234.60	49.30
235.20	46.50
235.80	47.20
236.40	41.60
237.00	37.50
237.60	29.20
238.20	39.50
238.80	47.10
239.40	45.30
240.00	45.60
240.60	39.10
241.20	33.80
241.80	40.30
242.40	47.60
243.00	35.30
243.60	30.90
244.20	37.20
244.80	36.00
245.40	37.10
246.00	42.40
246.60	34.70
247.20	36.00
247.80	27.20
248.40	26.40
249.00	25.00
249.60	24.40
250.20	30.20
250.80	37.50
251.40	25.60
252.00	25.70
252.60	30.10
253.20	31.10
253.80	35.10
254.40	36.20
255.00	27.50
255.60	29.70
256.20	20.70
256.80	18.40
257.40	22.40
258.00	20.10
258.60	26.80
259.20	25.80
259.80	20.00
260.40	19.90
261.00	21.40
261.60	18.70
262.20	21.20
262.80	13.60
263.40	19.80
264.00	18.70
264.60	21.00
265.20	20.70
265.80	21.90
266.40	35.10
267.00	34.10
267.60	29.70
268.20	40.80
268.80	38.20
269.40	32.00
270.00	26.70
270.60	24.30
271.20	20.40
271.80	22.20
272.40	20.70
273.00	24.40
273.60	23.00
274.20	23.50
274.80	19.90
275.40	13.10
276.00	16.10
276.60	15.30
277.20	9.90
277.80	12.10
278.40	16.40
279.00	15.10
279.60	24.40
280.20	14.30
280.80	9.70
281.40	15.30
282.00	10.10
282.60	18.00
283.20	12.30
283.80	15.40
284.40	16.70
285.00	16.80
285.60	13.10
286.20	13.90
286.80	10.20
287.40	14.00
288.00	12.60
288.60	7.20
289.20	11.30
289.80	4.80
290.40	11.60
291.00	7.20
291.60	16.20
292.20	12.00
292.80	11.60
293.40	15.60
294.00	9.00
294.60	11.80
295.20	9.50
295.80	16.10
296.40	16.80
297.00	18.00
297.60	16.50
298.20	9.00
298.80	13.90
299.40	17.70
300.00	18.60
300.60	13.70
301.20	13.00
301.80	12.40
302.40	7.70
303.00	14.30
303.60	9.80
304.20	13.30
304.80	13.50
305.40	12.00
306.00	10.40
306.60	13.00
307.20	11.70
307.80	20.50
308.40	15.60
309.00	13.10
309.60	12.90
310.20	11.10
310.80	14.60
311.40	25.20
312.00	12.90
312.60	9.90
313.20	11.50
313.80	15.10
314.40	6.30
315.00	10.80
315.60	6.90
316.20	11.00
316.80	21.90
317.40	18.80
318.00	18.80
318.60	15.20
319.20	14.10
319.80	13.50
320.40	12.40
321.00	14.90
321.60	12.50
322.20	14.60
322.80	17.60
323.40	20.40
324.00	26.90
324.60	20.80
325.20	14.80
325.80	20.10
326.40	21.00
327.00	21.40
327.60	20.20
328.20	20.80
328.80	15.00
329.40	11.60
330.00	15.80
330.60	15.20
331.20	19.70
331.80	20.90
332.40	9.00
333.00	8.60
333.60	12.50
334.20	11.30
334.80	15.20
335.40	11.10
336.00	12.10
336.60	10.90
337.20	12.30
337.80	10.30
338.40	12.30
339.00	18.30
339.60	20.10
340.20	25.10
340.80	18.60
341.40	22.10
342.00	24.60
342.60	18.70
343.20	28.70
343.80	24.00
344.40	22.90
345.00	22.30
345.60	14.60
346.20	15.30
346.80	17.70
347.40	19.00
348.00	11.60
348.60	17.20
349.20	15.80
349.80	10.10
350.40	5.50
351.00	13.30
351.60	13.30
352.20	19.90
352.80	14.70
353.40	24.30
354.00	13.60
354.60	22.30
355.20	20.70
355.80	15.80
356.40	15.20
357.00	12.90
357.60	25.40
358.20	14.40
358.80	10.70
359.40	14.60
360.00	11.10
360.60	8.10
361.20	13.60
361.80	17.80
362.40	12.70
363.00	13.10
363.60	14.70
364.20	15.00
364.80	16.40
365.40	17.60
366.00	16.40
366.60	12.40
367.20	13.50
367.80	17.30
368.40	16.60
369.00	16.20
369.60	15.30
370.20	19.80
370.80	12.60
371.40	17.40
372.00	15.90
372.60	16.50
373.20	14.20
373.80	16.90
374.40	18.00
375.00	12.10
375.60	18.60
376.20	16.00
376.80	15.30
377.40	12.20
378.00	19.20
378.60	13.20
379.20	9.80
379.80	13.20
380.40	12.10
381.00	18.90
381.60	16.50
382.20	14.50
382.80	12.20
383.40	18.20
384.00	18.10
384.60	15.70
385.20	19.90
385.80	12.50
386.40	17.90
387.00	13.10
387.60	12.20
388.20	14.50
388.80	15.80
389.40	17.40
390.00	18.70
390.60	15.30
391.20	17.80
391.80	10.30
392.40	16.40
393.00	21.90
393.60	15.60
394.20	13.90
394.80	13.40
395.40	15.30
396.00	16.30
396.60	14.70
397.20	12.60
397.80	17.30
398.40	19.10
399.00	18.80
399.60	12.70
400.20	16.40
400.80	14.50
401.40	12.60
402.00	19.90
402.60	16.00
403.20	18.30
403.80	17.00
404.40	17.50
405.00	24.80
405.60	19.10
406.20	14.20
406.80	14.80
407.40	18.80
408.00	12.20
408.60	14.50
409.20	15.00
409.80	19.00
410.40	16.80
411.00	11.60
411.60	15.20
412.20	14.40
412.80	20.40
413.40	19.70
414.00	14.50
414.60	17.20
415.20	16.00
415.80	18.90
