#time	SIM_10/	SIM_15/	SIM_20/	SIM_5/
0.60	146.10	146.10	146.10	146.10
1.20	146.10	146.10	146.10	146.10
1.80	133.90	144.70	137.60	150.50
2.40	139.50	144.20	143.50	151.70
3.00	133.50	143.10	149.40	146.30
3.60	126.10	145.90	143.60	138.10
4.20	123.10	136.30	142.70	128.20
4.80	122.30	135.50	142.80	128.90
5.40	105.40	130.00	145.00	119.80
6.00	134.70	132.80	143.40	107.40
6.60	141.90	141.00	140.30	104.00
7.20	139.00	136.50	130.90	95.70
7.80	132.20	132.00	135.40	94.20
8.40	140.50	125.70	130.00	92.60
9.00	134.70	118.50	136.20	86.50
9.60	122.90	123.50	139.70	88.90
10.20	125.80	133.60	136.30	93.00
10.80	117.60	130.70	136.50	72.50
11.40	123.60	134.00	129.20	63.90
12.00	119.80	121.90	131.00	69.90
12.60	119.90	136.00	123.40	81.70
13.20	124.20	140.50	127.10	67.90
13.80	129.10	133.80	128.00	64.30
14.40	127.30	129.30	131.00	67.80
15.00	128.80	130.30	135.80	47.60
15.60	127.00	136.30	131.80	43.70
16.20	123.40	132.80	127.50	54.40
16.80	114.20	131.00	136.50	54.40
17.40	124.50	135.20	141.00	63.30
18.00	114.30	130.60	127.50	73.30
18.60	123.90	126.50	118.50	91.00
19.20	122.60	125.20	125.00	83.40
19.80	124.10	112.50	124.00	81.00
20.40	126.10	116.80	130.50	96.70
21.00	118.20	111.80	125.50	89.50
21.60	132.00	127.10	114.70	100.10
22.20	127.80	127.40	124.00	99.20
22.80	132.50	122.80	114.40	90.40
23.40	130.80	106.60	127.10	96.00
24.00	133.10	114.40	127.20	85.20
24.60	130.90	102.50	134.10	76.50
25.20	124.00	114.50	132.00	69.60
25.80	111.10	124.90	119.20	90.90
26.40	114.90	118.10	122.50	88.70
27.00	115.80	114.70	130.20	83.30
27.60	105.50	114.80	129.40	85.80
28.20	103.90	117.20	124.80	73.50
28.80	108.30	116.20	126.40	78.80
29.40	111.60	120.80	136.10	86.00
30.00	106.10	127.20	132.40	89.30
30.60	110.60	122.70	128.20	80.00
31.20	103.10	121.80	128.60	75.90
31.80	107.10	117.40	126.80	81.80
32.40	111.10	123.10	123.60	80.40
33.00	110.90	120.40	134.90	83.20
33.60	108.80	107.20	129.90	90.90
34.20	100.70	114.90	129.00	85.70
34.80	106.30	121.50	138.80	82.30
35.40	118.70	132.60	135.70	76.00
36.00	120.20	128.50	125.80	75.60
36.60	109.30	120.90	136.80	84.30
37.20	91.30	128.30	140.60	76.80
37.80	99.20	127.70	141.50	94.80
38.40	97.50	129.50	138.80	91.70
39.00	94.00	133.60	137.90	83.30
39.60	91.80	130.00	136.50	89.70
40.20	92.40	125.20	136.40	87.50
40.80	91.90	135.10	134.50	82.60
41.40	92.90	126.90	123.50	93.00
42.00	107.00	126.50	121.10	92.90
42.60	110.60	137.50	118.40	75.80
43.20	108.40	147.80	115.10	75.00
43.80	102.20	134.00	115.20	72.40
44.40	102.70	134.60	116.90	68.50
45.00	101.60	141.00	103.70	79.90
45.60	103.90	137.90	121.20	73.00
46.20	96.10	137.00	118.00	74.10
46.80	98.30	138.20	112.80	64.40
47.40	102.60	139.20	127.50	64.00
48.00	90.20	149.50	118.20	78.10
48.60	97.60	128.60	120.20	61.30
49.20	97.00	124.70	121.60	70.30
49.80	95.80	122.30	113.60	54.20
50.40	99.20	123.40	111.00	49.50
51.00	101.50	120.80	117.70	48.20
51.60	90.80	117.90	114.90	53.10
52.20	97.30	123.20	120.30	47.60
52.80	94.70	135.80	126.40	54.00
53.40	101.60	136.80	118.60	55.70
54.00	97.90	138.40	114.20	51.20
54.60	93.40	131.00	113.10	55.70
55.20	89.40	147.20	108.00	52.90
55.80	96.70	144.90	111.40	63.90
56.40	95.80	152.60	120.60	55.90
57.00	94.00	148.90	111.50	55.70
57.60	100.40	153.20	116.80	57.30
58.20	105.10	143.10	114.20	57.10
58.80	111.50	138.30	117.70	54.30
59.40	107.90	147.10	127.60	64.60
60.00	104.10	145.00	128.30	58.20
60.60	99.70	143.30	119.20	49.70
61.20	90.90	141.70	115.90	67.50
61.80	115.20	149.20	111.80	56.50
62.40	99.70	135.40	110.10	63.70
63.00	104.60	134.80	111.60	56.60
63.60	94.50	131.90	114.70	60.90
64.20	94.40	139.40	113.00	64.20
64.80	89.60	138.10	116.90	53.90
65.40	96.50	142.90	129.90	53.90
66.00	85.70	142.90	130.70	58.10
66.60	87.20	138.10	131.80	53.40
67.20	88.90	128.10	130.20	41.80
67.80	86.60	114.10	122.50	43.60
68.40	80.10	119.30	126.80	41.00
69.00	89.40	127.70	129.90	46.10
69.60	90.60	121.60	134.30	45.10
70.20	97.20	120.50	126.40	36.20
70.80	97.50	123.40	120.30	50.10
71.40	97.60	134.10	133.10	47.70
72.00	86.80	132.00	124.20	41.70
72.60	101.00	131.70	130.10	47.40
73.20	97.70	136.70	129.20	48.60
73.80	83.90	129.80	134.90	37.20
74.40	92.20	141.40	139.20	48.10
75.00	85.30	147.80	130.00	42.30
75.60	86.80	139.50	124.00	41.40
76.20	89.60	131.60	135.40	46.80
76.80	84.30	132.90	135.10	49.30
77.40	81.70	129.80	125.80	41.50
78.00	74.50	138.50	127.40	50.60
78.60	78.70	141.50	134.30	51.30
79.20	82.50	146.70	136.50	56.90
79.80	71.60	133.70	133.30	53.90
80.40	75.00	134.20	139.50	55.90
81.00	66.60	132.40	134.60	47.10
81.60	81.80	121.30	134.00	53.80
82.20	66.50	122.70	130.30	29.90
82.80	55.70	117.30	122.60	35.90
83.40	69.40	105.30	120.00	37.90
84.00	77.90	101.30	121.40	35.00
84.60	79.10	108.90	138.70	35.60
85.20	85.70	106.30	134.40	37.40
85.80	80.30	115.10	116.30	38.70
86.40	74.70	115.10	123.70	35.50
87.00	76.90	129.00	127.30	31.80
87.60	77.80	134.10	131.00	32.70
88.20	73.40	141.00	120.30	38.20
88.80	78.20	142.50	120.50	43.50
89.40	64.50	146.00	125.70	45.60
90.00	67.90	141.00	134.00	45.60
90.60	69.80	144.40	128.60	45.70
91.20	71.70	152.40	126.30	50.50
91.80	60.10	140.80	129.90	48.50
92.40	54.30	137.20	132.70	66.90
93.00	49.60	142.40	130.00	44.10
93.60	61.40	136.50	133.10	51.30
94.20	66.30	140.70	131.70	40.30
94.80	64.00	135.60	134.40	33.60
95.40	56.60	134.30	136.00	29.10
96.00	62.70	131.60	147.40	37.40
96.60	68.90	130.20	139.50	47.40
97.20	70.30	130.00	137.00	55.00
