#time	SIM_10/	SIM_12/	SIM_15/	SIM_20/	SIM_25/	SIM_5/	SIM_6/	SIM_7/	SIM_8/	SIM_9/
0.60	223.70	223.70	223.70	223.70	223.70	223.70	223.70	223.70	223.70	223.70
1.20	223.70	223.70	223.70	223.70	223.70	223.70	223.70	223.70	223.70	223.70
1.80	233.70	240.10	234.00	229.20	239.10	226.10	232.20	236.60	224.90	240.60
2.40	239.60	235.90	234.20	234.50	235.20	233.10	239.60	231.80	233.60	246.00
3.00	232.20	241.80	236.50	241.60	236.20	226.30	241.40	235.30	231.10	240.50
3.60	237.20	237.60	232.80	238.20	238.20	228.70	224.10	233.60	240.50	238.50
4.20	224.20	230.10	237.00	245.20	240.90	221.10	235.30	241.40	226.80	240.90
4.80	231.30	241.10	235.40	239.10	240.00	218.40	236.90	238.80	229.20	231.40
5.40	233.50	243.80	235.50	244.40	237.20	230.80	235.60	244.70	225.50	232.40
6.00	238.10	239.50	237.80	240.80	236.00	234.90	231.70	252.00	222.80	232.50
6.60	237.00	243.50	247.50	244.90	231.40	226.00	226.10	249.00	231.60	235.70
7.20	241.00	235.70	242.90	250.90	236.20	222.80	230.00	257.90	241.00	243.30
7.80	235.70	237.90	244.60	244.60	234.10	223.20	233.80	247.70	238.90	243.10
8.40	243.00	243.00	248.40	232.60	238.50	220.70	231.40	243.40	247.40	249.60
9.00	240.70	245.40	235.90	243.00	236.70	224.40	227.70	245.20	236.80	247.60
9.60	235.90	244.60	234.10	240.60	238.10	211.90	234.00	254.80	242.70	240.40
10.20	238.90	241.80	241.10	239.60	240.10	213.10	229.00	247.60	239.80	231.20
10.80	235.90	245.60	233.80	236.30	240.60	222.30	216.60	249.20	238.70	237.30
11.40	241.70	244.40	239.40	244.30	237.10	221.00	227.20	249.30	234.70	229.00
12.00	239.20	248.30	240.60	241.30	234.60	227.50	242.90	245.30	242.50	237.00
12.60	239.40	240.40	237.30	238.70	230.30	213.50	240.60	244.70	238.40	238.30
13.20	238.10	243.70	235.00	240.50	236.00	216.00	242.10	240.00	236.70	238.00
13.80	229.60	235.30	234.60	234.10	230.50	219.20	253.20	252.20	241.00	232.20
14.40	233.10	239.00	229.90	241.90	234.40	221.30	237.70	240.90	235.00	241.20
15.00	235.60	238.80	230.70	237.70	234.00	227.30	237.20	243.30	238.00	245.50
15.60	239.20	236.50	229.20	247.20	238.40	228.30	237.80	243.90	235.20	246.60
16.20	234.70	237.40	233.30	246.60	239.80	226.30	235.60	246.00	238.60	239.30
16.80	241.00	243.40	239.00	244.60	236.00	222.50	242.80	246.00	241.50	237.30
17.40	242.80	237.50	232.10	247.20	233.00	230.20	243.40	250.50	234.00	242.90
18.00	235.20	247.60	240.20	240.10	242.70	223.60	236.50	241.10	229.00	243.60
18.60	233.50	247.50	240.80	239.50	230.00	222.80	230.30	243.40	228.50	248.10
19.20	235.10	240.50	244.60	235.00	234.40	228.70	241.40	234.10	225.90	243.60
19.80	238.00	244.70	239.20	236.30	233.90	230.20	232.70	235.10	229.00	248.10
20.40	233.80	243.50	237.00	233.40	223.50	226.40	241.10	224.90	231.30	247.60
21.00	232.70	239.60	240.00	233.20	231.60	229.90	245.80	235.70	222.40	254.10
21.60	231.10	233.80	240.40	232.10	236.10	225.70	246.10	241.60	229.50	247.40
22.20	231.00	233.30	238.90	235.00	237.00	219.10	239.50	248.00	226.90	244.70
22.80	238.40	232.20	228.50	237.00	237.80	223.20	244.60	241.30	225.80	244.50
23.40	231.90	237.00	228.50	240.90	237.20	213.30	242.80	244.10	220.70	247.10
24.00	230.50	235.50	227.30	234.10	228.10	222.40	239.40	249.00	218.70	240.80
24.60	231.60	236.40	232.80	241.90	236.80	217.40	231.50	242.50	233.20	243.60
25.20	238.40	229.60	236.10	232.00	229.00	212.60	238.50	247.30	227.00	242.10
25.80	226.90	235.50	236.10	236.60	228.40	214.70	226.20	235.50	235.40	237.10
26.40	232.80	227.40	225.80	242.80	235.10	216.90	227.70	238.50	221.10	240.40
27.00	225.80	228.10	235.50	245.60	235.50	210.40	219.30	236.90	240.80	241.70
27.60	236.60	234.80	230.60	240.80	242.20	216.50	233.50	250.80	234.70	237.90
28.20	230.70	236.10	238.20	241.60	233.60	212.30	228.10	241.80	238.20	239.90
28.80	238.40	233.40	235.00	248.10	231.00	208.50	220.80	241.90	248.40	235.90
29.40	236.00	238.30	240.80	241.20	225.50	213.60	233.20	245.90	243.80	238.60
30.00	226.90	234.00	230.80	235.90	227.50	222.70	238.30	238.50	236.10	233.10
30.60	229.80	234.00	231.70	241.20	232.00	221.40	235.50	247.90	225.20	238.30
31.20	233.90	225.60	235.90	243.80	220.00	223.80	245.10	256.40	227.40	237.90
31.80	239.30	224.70	239.30	245.00	228.10	214.40	242.40	253.00	231.80	231.20
32.40	234.30	224.20	240.20	235.30	225.30	212.10	233.20	245.70	230.90	238.10
33.00	236.70	235.80	242.10	236.00	230.80	196.60	238.60	244.00	217.40	236.90
33.60	237.00	226.70	235.30	239.40	238.60	196.60	243.20	242.60	220.80	235.60
