#time	SIM_9/
0.60	223.70
1.20	223.70
1.80	240.60
2.40	246.00
3.00	240.50
3.60	238.50
4.20	240.90
4.80	231.40
5.40	232.40
6.00	232.50
6.60	235.70
7.20	243.30
7.80	243.10
8.40	249.60
9.00	247.60
9.60	240.40
10.20	231.20
10.80	237.30
11.40	229.00
12.00	237.00
12.60	238.30
13.20	238.00
13.80	232.20
14.40	241.20
15.00	245.50
15.60	246.60
16.20	239.30
16.80	237.30
17.40	242.90
18.00	243.60
18.60	248.10
19.20	243.60
19.80	248.10
20.40	247.60
21.00	254.10
21.60	247.40
22.20	244.70
22.80	244.50
23.40	247.10
24.00	240.80
24.60	243.60
25.20	242.10
25.80	237.10
26.40	240.40
27.00	241.70
27.60	237.90
28.20	239.90
28.80	235.90
29.40	238.60
30.00	233.10
30.60	238.30
31.20	237.90
31.80	231.20
32.40	238.10
33.00	236.90
33.60	235.60
34.20	240.40
34.80	240.70
35.40	249.20
36.00	235.40
36.60	249.80
37.20	248.50
37.80	243.00
38.40	235.20
39.00	239.60
39.60	241.50
40.20	243.70
40.80	240.90
41.40	243.80
42.00	246.70
42.60	251.10
43.20	244.10
43.80	242.50
44.40	237.20
45.00	238.70
45.60	235.00
46.20	232.80
46.80	238.20
47.40	233.70
48.00	232.80
48.60	245.10
49.20	242.60
49.80	243.00
50.40	234.00
51.00	238.30
51.60	227.30
52.20	238.50
52.80	241.50
53.40	233.10
54.00	229.60
54.60	246.50
55.20	243.40
55.80	235.80
56.40	236.80
57.00	235.80
57.60	228.80
58.20	222.10
58.80	236.80
59.40	240.40
60.00	232.80
60.60	241.80
61.20	233.80
61.80	241.60
62.40	238.00
63.00	240.30
63.60	237.70
64.20	230.70
64.80	246.40
65.40	247.40
66.00	241.50
66.60	245.70
67.20	240.90
67.80	240.80
68.40	249.30
69.00	250.60
69.60	252.80
70.20	250.80
70.80	251.10
71.40	249.90
72.00	244.40
72.60	241.70
73.20	250.20
73.80	249.30
74.40	247.20
75.00	247.00
75.60	240.50
76.20	244.00
76.80	238.10
77.40	240.20
78.00	240.40
78.60	243.20
79.20	242.30
79.80	240.80
80.40	231.90
81.00	239.00
81.60	248.70
82.20	239.60
82.80	241.70
83.40	239.20
84.00	232.60
84.60	219.20
85.20	228.80
85.80	235.00
86.40	232.00
87.00	228.10
87.60	235.00
88.20	229.70
88.80	240.50
89.40	231.80
90.00	228.40
90.60	226.70
91.20	211.70
91.80	220.80
92.40	227.30
93.00	217.70
93.60	214.70
94.20	228.30
94.80	226.50
95.40	236.10
96.00	232.30
96.60	236.30
97.20	230.70
97.80	234.10
98.40	230.60
99.00	227.40
99.60	231.50
100.20	238.30
100.80	234.80
101.40	238.80
102.00	240.60
102.60	241.20
103.20	236.30
103.80	237.70
104.40	244.20
105.00	242.40
105.60	244.90
106.20	243.30
106.80	243.50
107.40	236.90
108.00	239.90
108.60	243.70
109.20	235.00
109.80	243.90
110.40	249.60
111.00	250.70
111.60	231.90
112.20	237.10
