#time	SIM_8/
0.60	196.30
1.20	196.30
1.80	196.70
2.40	190.60
3.00	186.50
3.60	194.30
4.20	189.50
4.80	190.70
5.40	187.60
6.00	190.20
6.60	194.30
7.20	177.30
7.80	175.60
8.40	190.10
9.00	185.50
9.60	184.40
10.20	189.70
10.80	179.50
11.40	180.90
12.00	190.80
12.60	188.10
13.20	188.70
13.80	186.50
14.40	187.40
15.00	185.60
15.60	184.00
16.20	183.60
16.80	186.80
17.40	185.10
18.00	179.60
18.60	183.10
19.20	186.10
19.80	186.20
20.40	184.20
21.00	190.30
21.60	179.50
22.20	180.20
22.80	185.30
23.40	185.20
24.00	186.00
24.60	194.80
25.20	185.90
25.80	181.60
26.40	181.50
27.00	176.30
27.60	183.80
28.20	184.60
28.80	180.60
29.40	181.30
30.00	173.20
30.60	177.50
31.20	172.00
31.80	177.10
32.40	171.50
33.00	166.20
33.60	163.80
34.20	157.80
34.80	161.80
35.40	168.90
36.00	164.90
36.60	161.10
37.20	164.10
37.80	157.30
38.40	157.50
39.00	152.40
39.60	154.80
40.20	156.40
40.80	154.20
41.40	153.70
42.00	151.70
42.60	143.00
43.20	144.10
43.80	144.60
44.40	141.50
45.00	142.10
45.60	139.80
46.20	147.80
46.80	151.10
47.40	149.80
48.00	147.60
48.60	147.00
49.20	150.90
49.80	151.50
50.40	161.20
51.00	153.20
51.60	158.50
52.20	159.50
52.80	155.40
53.40	146.80
54.00	145.80
54.60	152.20
55.20	154.30
55.80	151.40
56.40	138.90
57.00	136.50
57.60	144.20
58.20	141.60
58.80	146.30
59.40	150.00
60.00	143.40
60.60	151.00
61.20	158.20
61.80	156.40
62.40	157.70
63.00	148.00
63.60	154.80
64.20	157.90
64.80	155.80
65.40	151.10
66.00	147.70
66.60	145.00
67.20	141.90
67.80	139.50
68.40	139.60
69.00	138.70
69.60	128.30
70.20	141.70
70.80	144.20
71.40	141.50
72.00	146.80
72.60	149.40
73.20	153.30
73.80	161.90
74.40	154.60
75.00	154.70
75.60	151.60
76.20	139.80
76.80	146.20
77.40	141.80
78.00	136.90
78.60	143.10
79.20	143.80
79.80	145.00
80.40	139.20
81.00	138.40
81.60	131.10
82.20	133.00
82.80	134.20
83.40	136.70
84.00	146.20
84.60	148.80
85.20	147.30
85.80	138.90
86.40	146.30
87.00	150.10
87.60	146.20
88.20	134.50
88.80	143.60
89.40	143.60
90.00	144.90
90.60	153.50
91.20	149.10
91.80	151.00
92.40	150.60
93.00	155.20
93.60	158.20
94.20	153.50
94.80	155.50
95.40	157.40
