#time	SIM_5_5/
0.60	166.60
1.20	166.40
1.80	168.00
2.40	164.60
3.00	176.50
3.60	167.30
4.20	152.20
4.80	136.30
5.40	123.80
6.00	149.70
6.60	155.60
7.20	153.40
7.80	148.90
8.40	149.30
9.00	162.60
9.60	162.70
10.20	146.70
10.80	150.90
11.40	150.80
12.00	162.30
12.60	153.10
13.20	174.10
13.80	168.70
14.40	165.10
15.00	167.30
15.60	163.90
16.20	169.30
16.80	158.10
17.40	162.80
18.00	167.80
18.60	172.60
19.20	165.70
19.80	163.80
20.40	173.10
21.00	187.20
21.60	185.80
22.20	184.80
22.80	187.30
23.40	181.30
24.00	197.40
24.60	183.50
25.20	207.20
25.80	212.40
26.40	204.20
27.00	214.40
27.60	215.80
28.20	216.10
28.80	211.00
29.40	211.50
30.00	209.50
30.60	199.60
31.20	199.00
31.80	194.70
32.40	192.40
33.00	196.80
33.60	191.40
34.20	195.10
34.80	191.90
35.40	192.40
36.00	204.10
36.60	187.10
37.20	192.20
37.80	208.00
38.40	221.00
39.00	221.30
39.60	214.30
40.20	218.00
40.80	226.30
41.40	214.80
42.00	217.00
42.60	205.40
43.20	203.40
43.80	201.50
44.40	207.20
45.00	192.10
45.60	184.70
46.20	181.30
46.80	181.50
47.40	171.60
48.00	189.90
48.60	175.60
49.20	181.40
49.80	178.60
50.40	192.20
51.00	176.60
51.60	167.20
52.20	162.00
52.80	166.60
53.40	167.90
54.00	161.90
54.60	160.30
55.20	175.00
55.80	175.10
56.40	183.00
57.00	170.80
57.60	164.10
58.20	158.60
58.80	165.20
59.40	166.50
60.00	169.00
60.60	171.00
61.20	162.60
61.80	159.90
62.40	158.00
63.00	150.30
63.60	159.70
64.20	161.00
64.80	159.10
65.40	169.70
66.00	167.50
66.60	161.30
67.20	160.40
67.80	159.40
68.40	151.20
69.00	152.60
69.60	160.50
70.20	152.90
70.80	153.00
71.40	175.10
72.00	155.40
72.60	161.40
73.20	160.50
73.80	156.20
74.40	167.20
75.00	153.10
75.60	157.20
76.20	156.50
76.80	151.30
77.40	139.00
78.00	144.70
78.60	135.00
79.20	136.40
79.80	139.20
80.40	151.70
81.00	153.10
81.60	141.20
82.20	152.60
82.80	169.00
83.40	160.20
84.00	165.10
84.60	148.10
85.20	151.90
85.80	156.10
86.40	156.30
87.00	161.90
87.60	166.70
88.20	161.00
88.80	167.80
89.40	166.40
90.00	162.10
90.60	151.70
91.20	165.60
91.80	149.50
92.40	151.50
93.00	168.80
93.60	164.60
94.20	171.40
94.80	161.10
95.40	154.50
96.00	172.10
96.60	157.80
97.20	158.80
97.80	156.10
98.40	148.40
99.00	141.40
99.60	137.00
100.20	141.60
100.80	157.20
101.40	157.30
102.00	165.30
102.60	171.50
103.20	175.20
103.80	179.60
104.40	183.60
105.00	186.00
105.60	176.30
106.20	187.50
106.80	182.10
107.40	177.60
108.00	186.70
108.60	183.60
109.20	168.80
109.80	169.60
110.40	168.50
111.00	170.60
111.60	167.80
112.20	168.70
112.80	172.20
113.40	181.20
114.00	184.70
114.60	182.40
115.20	179.70
115.80	190.90
116.40	190.80
117.00	190.30
117.60	183.70
118.20	186.40
118.80	176.00
119.40	174.10
120.00	177.60
120.60	172.40
121.20	175.20
121.80	175.70
122.40	192.40
123.00	172.70
123.60	174.80
124.20	180.90
124.80	175.50
125.40	182.00
126.00	187.10
126.60	177.80
127.20	164.30
127.80	176.50
128.40	168.40
129.00	187.60
129.60	201.00
130.20	197.80
130.80	184.10
131.40	165.70
132.00	167.00
132.60	166.80
133.20	172.50
133.80	159.10
134.40	170.00
135.00	173.70
135.60	177.40
136.20	183.10
136.80	195.40
137.40	196.40
138.00	194.30
138.60	210.60
139.20	197.10
139.80	211.90
140.40	209.00
141.00	196.40
141.60	189.90
142.20	181.30
142.80	179.20
143.40	186.30
144.00	189.90
144.60	196.70
145.20	179.30
145.80	178.00
146.40	178.70
147.00	172.70
147.60	184.20
148.20	182.30
148.80	197.20
149.40	200.20
150.00	189.60
150.60	196.20
151.20	202.50
151.80	201.60
152.40	189.40
153.00	184.70
153.60	152.20
154.20	166.00
154.80	158.60
155.40	167.40
156.00	159.20
156.60	157.50
157.20	152.40
157.80	148.00
158.40	147.70
159.00	158.10
159.60	165.40
160.20	169.80
160.80	164.10
161.40	169.90
162.00	164.50
162.60	170.40
163.20	162.30
163.80	169.00
164.40	171.40
165.00	150.40
165.60	155.20
166.20	155.10
166.80	154.30
167.40	152.30
168.00	130.90
168.60	144.00
169.20	149.90
169.80	148.30
170.40	144.50
171.00	137.60
171.60	128.90
172.20	130.50
172.80	135.80
173.40	152.00
174.00	143.10
174.60	127.20
175.20	142.20
175.80	136.50
176.40	136.90
177.00	124.60
177.60	109.10
178.20	117.50
178.80	125.30
179.40	128.90
180.00	122.30
180.60	134.30
181.20	138.00
181.80	132.60
182.40	122.60
183.00	121.60
183.60	113.70
184.20	114.40
184.80	123.50
185.40	132.10
186.00	138.40
186.60	155.30
187.20	149.10
187.80	157.40
188.40	148.90
189.00	157.30
189.60	131.60
190.20	126.20
190.80	127.50
191.40	139.10
192.00	142.40
192.60	138.90
193.20	140.90
193.80	152.90
194.40	139.10
195.00	135.30
195.60	131.50
196.20	134.50
196.80	141.70
197.40	152.50
198.00	151.20
198.60	143.00
199.20	143.90
199.80	154.50
200.40	141.00
201.00	151.80
201.60	156.90
202.20	144.30
202.80	143.60
203.40	139.30
204.00	153.30
204.60	156.10
205.20	161.60
205.80	174.20
206.40	170.50
207.00	163.30
207.60	169.60
208.20	167.60
208.80	173.30
209.40	162.00
210.00	165.70
210.60	178.30
211.20	189.30
211.80	169.60
212.40	174.80
213.00	161.80
213.60	168.90
214.20	183.10
214.80	173.80
215.40	178.50
216.00	180.50
216.60	183.10
217.20	189.60
217.80	189.20
218.40	184.30
219.00	168.40
219.60	168.90
220.20	163.40
220.80	155.90
221.40	145.30
222.00	152.40
222.60	150.30
223.20	140.30
223.80	143.20
224.40	138.00
225.00	138.40
225.60	149.90
226.20	139.10
226.80	155.50
227.40	167.20
228.00	163.20
228.60	172.20
229.20	171.70
229.80	170.90
230.40	168.40
231.00	160.10
231.60	160.40
232.20	161.80
232.80	157.50
233.40	155.60
234.00	161.10
234.60	149.80
235.20	175.70
235.80	173.80
236.40	178.70
