#time	SIM_7.5_0/
0.60	139.70
1.20	139.70
1.80	133.80
2.40	129.90
3.00	136.50
3.60	114.50
4.20	123.90
4.80	120.20
5.40	122.80
6.00	127.40
6.60	128.90
7.20	131.10
7.80	124.70
8.40	135.60
9.00	144.00
9.60	139.30
10.20	140.00
10.80	128.80
11.40	134.10
12.00	156.90
12.60	137.30
13.20	117.60
13.80	136.40
14.40	126.10
15.00	133.70
15.60	135.30
16.20	156.10
16.80	148.20
17.40	145.40
18.00	150.10
18.60	154.30
19.20	157.50
19.80	163.30
20.40	163.40
21.00	163.30
21.60	161.00
22.20	160.90
22.80	160.10
23.40	161.60
24.00	149.80
24.60	166.30
25.20	169.20
25.80	163.70
26.40	162.40
27.00	153.70
27.60	158.30
28.20	167.70
28.80	160.50
29.40	161.40
30.00	164.40
30.60	167.60
31.20	154.20
31.80	166.70
32.40	161.40
33.00	169.60
33.60	177.70
34.20	177.10
34.80	157.00
35.40	162.90
36.00	175.00
36.60	170.20
37.20	175.70
37.80	175.90
38.40	166.10
39.00	176.40
39.60	170.20
40.20	161.70
40.80	169.40
41.40	161.50
42.00	156.40
42.60	162.40
43.20	166.00
43.80	171.00
44.40	164.00
45.00	177.00
45.60	168.10
46.20	177.90
46.80	179.60
47.40	185.30
48.00	198.70
48.60	200.60
49.20	200.30
49.80	203.80
50.40	191.60
51.00	176.80
51.60	164.50
52.20	170.90
52.80	162.70
53.40	155.20
54.00	163.30
54.60	154.80
55.20	157.50
55.80	144.80
56.40	133.60
57.00	144.30
57.60	140.10
58.20	126.20
58.80	124.20
59.40	129.40
60.00	122.20
60.60	135.10
61.20	130.10
61.80	121.30
62.40	128.70
63.00	135.00
63.60	135.00
64.20	129.60
64.80	128.60
65.40	141.10
66.00	131.50
66.60	141.10
67.20	142.20
67.80	139.40
68.40	148.60
69.00	149.20
69.60	149.60
70.20	143.20
70.80	151.00
71.40	161.30
72.00	160.30
72.60	158.40
73.20	146.50
73.80	153.30
74.40	156.50
75.00	160.40
75.60	154.00
76.20	163.60
76.80	172.10
77.40	186.60
78.00	186.60
78.60	189.40
79.20	188.80
79.80	182.80
80.40	190.00
81.00	198.10
81.60	184.90
82.20	176.30
82.80	188.00
83.40	191.10
84.00	181.40
84.60	170.50
85.20	169.70
85.80	190.40
86.40	178.60
87.00	186.50
87.60	176.70
88.20	173.60
88.80	183.80
89.40	189.00
90.00	187.20
90.60	191.90
91.20	196.80
91.80	193.20
92.40	202.70
93.00	201.60
93.60	184.60
94.20	191.70
94.80	200.20
95.40	195.20
96.00	179.70
96.60	192.20
97.20	179.40
97.80	162.70
98.40	171.00
99.00	165.70
99.60	167.20
100.20	168.30
100.80	178.70
101.40	163.40
102.00	148.00
102.60	141.10
103.20	136.00
103.80	131.50
104.40	135.50
105.00	153.00
105.60	156.10
106.20	139.60
106.80	121.00
107.40	130.40
108.00	122.90
108.60	121.00
109.20	131.70
109.80	120.10
110.40	126.00
111.00	122.60
111.60	119.60
112.20	112.40
112.80	118.20
113.40	95.10
114.00	98.10
114.60	113.80
115.20	107.50
115.80	110.10
116.40	103.10
117.00	106.00
117.60	115.40
118.20	112.90
118.80	124.00
119.40	124.00
120.00	123.00
120.60	118.80
121.20	136.70
121.80	138.50
122.40	136.70
123.00	142.60
123.60	136.20
124.20	125.60
124.80	125.20
125.40	133.00
126.00	131.50
126.60	117.20
127.20	109.50
127.80	105.00
128.40	111.30
129.00	111.20
129.60	115.20
130.20	115.30
130.80	107.90
131.40	115.60
132.00	121.40
132.60	131.40
133.20	137.00
133.80	133.10
134.40	148.30
135.00	144.60
135.60	154.30
136.20	153.60
136.80	154.80
137.40	148.30
138.00	153.90
138.60	155.50
139.20	157.10
139.80	155.50
140.40	132.90
141.00	126.90
141.60	114.40
142.20	123.70
142.80	136.50
143.40	137.60
144.00	143.90
144.60	138.30
145.20	149.00
145.80	147.50
146.40	140.80
147.00	139.90
147.60	131.50
148.20	128.10
148.80	144.40
149.40	143.10
150.00	156.30
150.60	164.80
151.20	171.40
151.80	153.90
152.40	160.70
153.00	169.50
153.60	174.90
154.20	158.50
154.80	176.40
155.40	172.00
156.00	178.20
156.60	186.20
157.20	187.50
157.80	184.20
158.40	164.30
159.00	171.00
159.60	190.90
160.20	187.40
160.80	202.20
161.40	195.60
162.00	201.60
162.60	201.60
163.20	188.60
163.80	197.80
164.40	206.30
165.00	195.90
165.60	190.20
166.20	185.90
166.80	178.60
167.40	184.50
168.00	180.60
168.60	195.10
169.20	183.10
169.80	178.10
170.40	177.60
171.00	182.60
171.60	186.00
172.20	185.50
172.80	193.60
173.40	220.80
174.00	229.90
174.60	223.20
175.20	230.50
175.80	239.70
176.40	229.30
177.00	232.80
177.60	224.60
178.20	211.20
178.80	221.00
179.40	230.70
180.00	228.00
180.60	219.90
181.20	223.30
181.80	220.80
182.40	222.40
183.00	205.30
183.60	212.30
184.20	203.10
184.80	208.60
185.40	205.80
